epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.7641,0.4978,0.4977,0.4935,0.9741,0.2083,0.2083,1.0000,0.7312,0.5100,0.5103,0.5014,0.9134,0.2478,0.2089,0.9406
1,0.7166,0.5108,0.5109,0.5035,0.8138,0.2758,0.2155,0.9070,0.7159,0.5200,0.5210,0.5082,0.9723,0.2516,0.2067,0.9322
2,0.7028,0.5210,0.5219,0.5010,0.8089,0.3120,0.2048,0.8354,0.6971,0.5381,0.5403,0.5211,1.1546,0.2438,0.2044,0.9418
3,0.6927,0.5318,0.5319,0.5295,1.0316,0.2005,0.1922,0.9948,0.6741,0.5679,0.5723,0.5443,1.4730,0.2315,0.2045,0.9651
4,0.6790,0.5675,0.5734,0.5275,1.6393,0.2105,0.2105,1.0000,0.6397,0.6126,0.6197,0.5843,1.8095,0.2363,0.2112,0.9827
5,0.6441,0.6208,0.6326,0.5760,2.3803,0.2025,0.2025,1.0000,0.5878,0.6717,0.6806,0.6436,1.9528,0.2827,0.2331,0.9845
6,0.5819,0.7007,0.7101,0.6785,2.7992,0.1915,0.1915,1.0000,0.5188,0.7381,0.7477,0.7149,1.8071,0.3755,0.2759,0.9741
7,0.4784,0.7820,0.7934,0.7625,1.4111,0.4120,0.2594,0.9667,0.4423,0.8008,0.8095,0.7840,1.5202,0.4830,0.3282,0.9623
8,0.3890,0.8577,0.8686,0.8430,0.4727,0.8348,0.5359,0.9050,0.3727,0.8491,0.8557,0.8385,1.2724,0.5706,0.3739,0.9577
9,0.3024,0.8931,0.8969,0.8884,2.1776,0.3338,0.2364,0.9857,0.3214,0.8791,0.8828,0.8736,1.0483,0.6465,0.4202,0.9590
10,0.2855,0.8965,0.8981,0.8945,0.6448,0.7525,0.4629,0.9676,0.2896,0.8945,0.8956,0.8929,0.7886,0.7297,0.4827,0.9598
11,0.2698,0.9025,0.9021,0.9030,0.5208,0.8031,0.4844,0.9519,0.2698,0.9028,0.9018,0.9040,0.5524,0.8065,0.5527,0.9592
12,0.2772,0.8980,0.8952,0.9015,0.3141,0.8930,0.6858,0.9501,0.2539,0.9096,0.9071,0.9126,0.4076,0.8564,0.6075,0.9592
13,0.2352,0.9180,0.9151,0.9215,0.3349,0.8834,0.6225,0.9738,0.2381,0.9166,0.9132,0.9207,0.3519,0.8768,0.6347,0.9598
14,0.2311,0.9205,0.9139,0.9285,0.3298,0.8869,0.6393,0.9565,0.2226,0.9234,0.9197,0.9278,0.3646,0.8730,0.6312,0.9616
15,0.2230,0.9227,0.9221,0.9235,0.2111,0.9246,0.7451,0.9453,0.2085,0.9291,0.9251,0.9338,0.4425,0.8470,0.5963,0.9665
16,0.1869,0.9417,0.9372,0.9470,0.5120,0.8194,0.5381,0.9716,0.1986,0.9323,0.9280,0.9374,0.5525,0.8112,0.5520,0.9714
17,0.1876,0.9339,0.9279,0.9409,0.5641,0.8056,0.4814,0.9973,0.1962,0.9323,0.9277,0.9378,0.6089,0.7941,0.5439,0.9693
18,0.1798,0.9370,0.9327,0.9420,1.2482,0.5900,0.3311,0.9902,0.2000,0.9304,0.9257,0.9360,0.5438,0.8172,0.5950,0.9596
19,0.2210,0.9212,0.9169,0.9265,0.2014,0.9261,0.7584,0.9139,0.2031,0.9293,0.9248,0.9347,0.4045,0.8642,0.6715,0.9506
20,0.2165,0.9258,0.9197,0.9330,0.1916,0.9400,0.7797,0.9440,0.2001,0.9306,0.9263,0.9356,0.3087,0.8954,0.7158,0.9487
21,0.1995,0.9324,0.9303,0.9349,0.2000,0.9325,0.7669,0.9637,0.1918,0.9335,0.9292,0.9384,0.3140,0.8916,0.7025,0.9527
22,0.1769,0.9370,0.9331,0.9415,0.1657,0.9439,0.8216,0.9210,0.1828,0.9367,0.9320,0.9420,0.3775,0.8689,0.6585,0.9576
23,0.1767,0.9380,0.9328,0.9440,0.6883,0.7445,0.4225,0.9973,0.1752,0.9398,0.9345,0.9458,0.4065,0.8596,0.6449,0.9544
24,0.1801,0.9387,0.9324,0.9459,0.6018,0.8110,0.5092,0.9848,0.1679,0.9432,0.9375,0.9497,0.3557,0.8784,0.6929,0.9394
25,0.1598,0.9465,0.9412,0.9525,0.1548,0.9435,0.8238,0.9260,0.1602,0.9467,0.9410,0.9532,0.2690,0.9097,0.7648,0.9255
26,0.1544,0.9490,0.9411,0.9580,0.1226,0.9494,0.9335,0.8120,0.1527,0.9500,0.9448,0.9560,0.2095,0.9323,0.8073,0.9293
27,0.1536,0.9523,0.9484,0.9565,0.2426,0.9355,0.7809,0.9888,0.1454,0.9529,0.9483,0.9580,0.1856,0.9428,0.8158,0.9469
