epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.6927,0.5113,0.5104,0.5530,0.6945,0.4945,0.2290,0.6321,0.6030,0.6305,0.6316,0.6522,0.5956,0.6370,0.3808,0.7626
1,0.6437,0.6233,0.6161,0.6540,0.6591,0.6085,0.3112,0.8786,0.5290,0.7052,0.7103,0.7128,0.5255,0.7219,0.4798,0.8063
2,0.4631,0.7935,0.8045,0.7755,0.3133,0.9077,0.7423,0.7739,0.4389,0.7865,0.7961,0.7804,0.4468,0.8065,0.5796,0.8481
3,0.3293,0.8795,0.9007,0.8530,0.5454,0.8383,0.5730,0.9488,0.3643,0.8454,0.8568,0.8327,0.3775,0.8618,0.6485,0.8754
4,0.3159,0.8815,0.8957,0.8635,0.2378,0.9110,0.7156,0.8591,0.3181,0.8766,0.8863,0.8646,0.3228,0.8895,0.6883,0.8894
5,0.2786,0.8947,0.8993,0.8890,0.3072,0.9013,0.7212,0.9011,0.2939,0.8901,0.8964,0.8820,0.2867,0.9018,0.7082,0.8973
6,0.2993,0.8934,0.8998,0.8854,0.2654,0.9050,0.7148,0.9093,0.2800,0.8958,0.8989,0.8920,0.2690,0.9063,0.7132,0.9036
7,0.2641,0.9005,0.8997,0.9015,0.2079,0.9231,0.7483,0.8790,0.2700,0.8991,0.8994,0.8987,0.2619,0.9072,0.7107,0.9084
8,0.2660,0.8988,0.8974,0.9005,0.3344,0.8904,0.6611,0.9590,0.2618,0.9017,0.9001,0.9037,0.2531,0.9079,0.7106,0.9091
9,0.2574,0.9029,0.9009,0.9054,0.2412,0.9077,0.7027,0.8871,0.2554,0.9040,0.9013,0.9074,0.2402,0.9093,0.7143,0.9075
10,0.2526,0.9062,0.9004,0.9135,0.1962,0.9210,0.7548,0.8947,0.2512,0.9054,0.9026,0.9089,0.2328,0.9090,0.7132,0.9092
11,0.2375,0.9110,0.9077,0.9150,0.2090,0.9162,0.7372,0.9120,0.2496,0.9054,0.9033,0.9080,0.2367,0.9061,0.7024,0.9155
12,0.2561,0.9022,0.9000,0.9050,0.2682,0.8894,0.6538,0.9130,0.2493,0.9048,0.9035,0.9064,0.2441,0.9032,0.6908,0.9214
13,0.2504,0.9034,0.9083,0.8974,0.2534,0.9053,0.6912,0.9530,0.2484,0.9047,0.9035,0.9062,0.2471,0.9027,0.6881,0.9220
14,0.2513,0.9028,0.8974,0.9095,0.2566,0.8948,0.6496,0.9270,0.2464,0.9055,0.9041,0.9072,0.2470,0.9033,0.6928,0.9201
15,0.2368,0.9085,0.9053,0.9125,0.2047,0.9235,0.7611,0.8644,0.2440,0.9070,0.9055,0.9088,0.2470,0.9034,0.6991,0.9217
16,0.2532,0.9045,0.9074,0.9010,0.2948,0.8854,0.6527,0.9644,0.2413,0.9087,0.9068,0.9110,0.2463,0.9039,0.7056,0.9257
17,0.2333,0.9115,0.9095,0.9140,0.2415,0.9013,0.6998,0.9292,0.2385,0.9102,0.9072,0.9138,0.2442,0.9056,0.7121,0.9274
18,0.2382,0.9134,0.9081,0.9199,0.1903,0.9281,0.7894,0.9134,0.2364,0.9110,0.9067,0.9162,0.2429,0.9076,0.7156,0.9274
19,0.2332,0.9105,0.9068,0.9150,0.3204,0.8805,0.6376,0.9383,0.2351,0.9113,0.9064,0.9173,0.2405,0.9103,0.7195,0.9278
20,0.2339,0.9097,0.9003,0.9215,0.1788,0.9306,0.7617,0.9120,0.2334,0.9118,0.9074,0.9174,0.2347,0.9142,0.7288,0.9280
21,0.2424,0.9112,0.9086,0.9145,0.2835,0.9028,0.6843,0.9580,0.2305,0.9130,0.9096,0.9172,0.2279,0.9174,0.7393,0.9268
22,0.2213,0.9155,0.9126,0.9190,0.1795,0.9355,0.8191,0.9037,0.2268,0.9144,0.9117,0.9177,0.2250,0.9180,0.7406,0.9265
23,0.2258,0.9133,0.9147,0.9115,0.2257,0.9177,0.7340,0.9175,0.2234,0.9157,0.9128,0.9193,0.2280,0.9156,0.7303,0.9304
24,0.2227,0.9185,0.9139,0.9240,0.2389,0.9080,0.6978,0.9444,0.2209,0.9167,0.9128,0.9213,0.2343,0.9121,0.7151,0.9384
25,0.2187,0.9167,0.9119,0.9224,0.2397,0.9147,0.7321,0.9282,0.2198,0.9170,0.9123,0.9228,0.2416,0.9084,0.7009,0.9478
26,0.2079,0.9205,0.9135,0.9290,0.2218,0.9067,0.6802,0.9608,0.2197,0.9173,0.9120,0.9238,0.2485,0.9054,0.6921,0.9549
