epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.7356,0.5019,,,0.8493,0.2039,,,0.7058,0.5182,,,0.8031,0.3499,,
1,0.6985,0.5033,,,0.6757,0.5958,,,0.6791,0.5475,,,0.8019,0.3830,,
2,0.6915,0.5246,,,0.8810,0.2140,,,0.6265,0.6057,,,0.7698,0.4544,,
3,0.6657,0.5909,,,1.0363,0.2872,,,0.5426,0.6898,,,0.6960,0.5724,,
4,0.5011,0.7634,,,0.3867,0.8708,,,0.4394,0.7796,,,0.6258,0.6900,,
5,0.3337,0.8781,,,0.3359,0.8963,,,0.3430,0.8510,,,0.5871,0.7604,,
6,0.2613,0.9038,,,1.1068,0.6031,,,0.2719,0.8950,,,0.5352,0.7999,,
7,0.2324,0.9176,,,0.2394,0.8811,,,0.2268,0.9183,,,0.4406,0.8394,,
8,0.1899,0.9341,,,0.4992,0.8524,,,0.1991,0.9306,,,0.3363,0.8774,,
9,0.1908,0.9351,,,0.1709,0.9245,,,0.1802,0.9379,,,0.2606,0.9019,,
10,0.1736,0.9426,,,0.1618,0.9475,,,0.1651,0.9429,,,0.2203,0.9130,,
11,0.1526,0.9454,,,0.2894,0.8641,,,0.1525,0.9469,,,0.2001,0.9194,,
12,0.1410,0.9496,,,0.1567,0.9402,,,0.1427,0.9503,,,0.1934,0.9232,,
13,0.1396,0.9513,,,0.1355,0.9543,,,0.1348,0.9536,,,0.2035,0.9204,,
14,0.1333,0.9545,,,0.1701,0.9334,,,0.1271,0.9570,,,0.2186,0.9150,,
15,0.1233,0.9597,,,0.4251,0.8259,,,0.1190,0.9604,,,0.2166,0.9170,,
16,0.1152,0.9613,,,0.1112,0.9630,,,0.1116,0.9634,,,0.2045,0.9241,,
17,0.1019,0.9679,,,0.1117,0.9628,,,0.1064,0.9654,,,0.2044,0.9267,,
18,0.1000,0.9665,,,0.2723,0.8956,,,0.1038,0.9665,,,0.2101,0.9264,,
19,0.1059,0.9672,0.9661,0.9685,0.2909,0.9106,0.7022,0.9926,0.1021,0.9671,,,0.2094,0.9277,,
20,0.1043,0.9655,0.9643,0.9668,0.1255,0.9488,0.9449,0.7922,0.0992,0.9681,,,0.2138,0.9272,,
21,0.1019,0.9684,0.9659,0.9710,0.0757,0.9747,0.9364,0.9329,0.0946,0.9695,,,0.2269,0.9242,,
22,0.0858,0.9712,0.9708,0.9718,0.5390,0.8248,0.9904,0.1431,0.0898,0.9710,,,0.2236,0.9270,,
23,0.0897,0.9718,0.9694,0.9743,0.0857,0.9649,0.9761,0.8482,0.0862,0.9722,0.9707,0.9737,0.2013,0.9363,0.9001,0.8064
24,0.0799,0.9739,0.9735,0.9743,0.1581,0.9601,0.8409,0.9835,0.0842,0.9728,0.9714,0.9743,0.1875,0.9422,0.8551,0.9031
25,0.0805,0.9737,0.9707,0.9770,0.1171,0.9684,0.8778,0.9789,0.0827,0.9732,0.9720,0.9745,0.1875,0.9424,0.8222,0.9572
26,0.0931,0.9704,0.9700,0.9707,0.3644,0.8794,0.6290,0.9875,0.0797,0.9740,0.9731,0.9749,0.1791,0.9450,0.8202,0.9738
27,0.0770,0.9754,0.9755,0.9753,0.0666,0.9783,0.9294,0.9705,0.0750,0.9752,0.9746,0.9758,0.1536,0.9535,0.8445,0.9742
28,0.0686,0.9759,0.9741,0.9778,0.1994,0.9488,0.7985,0.9929,0.0706,0.9764,0.9760,0.9769,0.1222,0.9633,0.8758,0.9701
29,0.0653,0.9780,0.9785,0.9775,0.0721,0.9750,0.9423,0.9337,0.0679,0.9773,0.9768,0.9778,0.0980,0.9699,0.8969,0.9679
30,0.0660,0.9779,0.9790,0.9768,0.0567,0.9817,0.9225,0.9875,0.0664,0.9779,0.9771,0.9788,0.0887,0.9717,0.9007,0.9693
31,0.0704,0.9774,0.9742,0.9808,0.0625,0.9794,0.9414,0.9537,0.0646,0.9787,0.9775,0.9799,0.0890,0.9712,0.8960,0.9723
32,0.0649,0.9780,0.9768,0.9793,0.1645,0.9457,0.7867,0.9838,0.0623,0.9797,0.9784,0.9809,0.0862,0.9720,0.8999,0.9726
33,0.0543,0.9824,0.9815,0.9833,0.0607,0.9821,0.9314,0.9856,0.0605,0.9805,0.9795,0.9817,0.0782,0.9747,0.9153,0.9672
34,0.0619,0.9799,0.9785,0.9812,0.0436,0.9853,0.9441,0.9844,0.0595,0.9811,0.9801,0.9821,0.0740,0.9763,0.9271,0.9602
35,0.0596,0.9829,0.9823,0.9835,0.0660,0.9752,0.9830,0.8870,0.0587,0.9813,0.9804,0.9822,0.0742,0.9767,0.9294,0.9592
36,0.0616,0.9800,0.9793,0.9808,0.1268,0.9656,0.8522,0.9935,0.0582,0.9812,0.9803,0.9822,0.0708,0.9780,0.9322,0.9624
37,0.0484,0.9831,0.9823,0.9840,0.0448,0.9854,0.9495,0.9801,0.0585,0.9810,0.9800,0.9820,0.0634,0.9798,0.9425,0.9599
38,0.0613,0.9801,0.9788,0.9815,0.0489,0.9837,0.9584,0.9619,0.0587,0.9810,0.9799,0.9822,0.0588,0.9802,0.9546,0.9485
39,0.0709,0.9775,0.9765,0.9785,0.0452,0.9852,0.9634,0.9622,0.0567,0.9818,0.9806,0.9830,0.0600,0.9790,0.9588,0.9382
40,0.0509,0.9840,0.9821,0.9860,0.0874,0.9657,0.9791,0.8519,0.0531,0.9829,0.9818,0.9841,0.0672,0.9767,0.9475,0.9419
41,0.0463,0.9849,0.9845,0.9852,0.0431,0.9855,0.9656,0.9607,0.0500,0.9837,0.9827,0.9848,0.0876,0.9708,0.9140,0.9597
42,0.0480,0.9851,0.9838,0.9865,0.0474,0.9844,0.9304,0.9906,0.0484,0.9840,0.9831,0.9849,0.1257,0.9592,0.8621,0.9789
43,0.0503,0.9818,0.9808,0.9827,0.1241,0.9636,0.8467,0.9949,0.0470,0.9843,0.9836,0.9851,0.1624,0.9476,0.8174,0.9905
44,0.0472,0.9850,0.9845,0.9855,0.3642,0.8780,0.6208,1.0000,0.0450,0.9849,0.9842,0.9856,0.1669,0.9467,0.8112,0.9942
45,0.0450,0.9847,0.9850,0.9845,0.1254,0.9596,0.8358,0.9963,0.0428,0.9856,0.9848,0.9865,0.1379,0.9572,0.8431,0.9940
46,0.0362,0.9879,0.9863,0.9895,0.0936,0.9752,0.8938,0.9897,0.0416,0.9860,0.9850,0.9870,0.1052,0.9692,0.8807,0.9929
47,0.0429,0.9849,0.9828,0.9870,0.0264,0.9915,0.9654,0.9938,0.0417,0.9861,0.9853,0.9870,0.0891,0.9753,0.9000,0.9925
48,0.0382,0.9877,0.9877,0.9877,0.1298,0.9709,0.8787,0.9885,0.0422,0.9863,0.9856,0.9870,0.0826,0.9771,0.9062,0.9928
49,0.0487,0.9834,0.9835,0.9832,0.0992,0.9674,0.8689,0.9976,0.0417,0.9869,0.9863,0.9875,0.0759,0.9785,0.9119,0.9932
50,0.0439,0.9876,0.9863,0.9890,0.0368,0.9885,0.9524,0.9911,0.0400,0.9878,0.9872,0.9884,0.0721,0.9797,0.9164,0.9934
51,0.0316,0.9906,0.9903,0.9910,0.0381,0.9890,0.9538,0.9924,0.0382,0.9884,0.9879,0.9889,0.0731,0.9798,0.9173,0.9924
52,0.0412,0.9874,0.9865,0.9882,0.1482,0.9631,0.8443,1.0000,0.0373,0.9886,0.9881,0.9890,0.0716,0.9801,0.9208,0.9889
53,0.0357,0.9895,0.9897,0.9892,0.0470,0.9857,0.9421,0.9901,0.0374,0.9883,0.9879,0.9887,0.0655,0.9809,0.9296,0.9819
54,0.0317,0.9891,0.9888,0.9895,0.0333,0.9885,0.9675,0.9725,0.0385,0.9878,0.9873,0.9884,0.0621,0.9810,0.9375,0.9726
55,0.0455,0.9856,0.9853,0.9860,0.0754,0.9770,0.9027,0.9915,0.0399,0.9874,0.9867,0.9881,0.0640,0.9802,0.9404,0.9657
56,0.0379,0.9880,0.9863,0.9898,0.0607,0.9784,0.9900,0.9018,0.0410,0.9871,0.9863,0.9880,0.0672,0.9792,0.9376,0.9661
57,0.0440,0.9869,0.9868,0.9870,0.0907,0.9762,0.8986,0.9944,0.0417,0.9869,0.9860,0.9879,0.0738,0.9765,0.9255,0.9727
58,0.0394,0.9872,0.9863,0.9883,0.0362,0.9891,0.9588,0.9871,0.0420,0.9868,0.9857,0.9880,0.0914,0.9694,0.8991,0.9798
59,0.0430,0.9860,0.9845,0.9875,0.0339,0.9872,0.9696,0.9661,0.0412,0.9871,0.9859,0.9884,0.1154,0.9603,0.8663,0.9854
60,0.0502,0.9854,0.9836,0.9872,0.2983,0.8932,0.6464,0.9993,0.0385,0.9879,0.9868,0.9890,0.1289,0.9559,0.8465,0.9897
61,0.0312,0.9901,0.9893,0.9910,0.0380,0.9880,0.9508,0.9916,0.0351,0.9888,0.9879,0.9896,0.1262,0.9577,0.8463,0.9918
62,0.0300,0.9900,0.9893,0.9908,0.1465,0.9563,0.8261,0.9979,0.0332,0.9892,0.9886,0.9899,0.1138,0.9623,0.8592,0.9908
63,0.0304,0.9893,0.9895,0.9890,0.1530,0.9457,0.7924,0.9902,0.0333,0.9893,0.9887,0.9899,0.0959,0.9683,0.8822,0.9867
64,0.0344,0.9890,0.9880,0.9900,0.0292,0.9917,0.9760,0.9822,0.0344,0.9892,0.9885,0.9899,0.0764,0.9745,0.9112,0.9795
65,0.0366,0.9896,0.9890,0.9902,0.0953,0.9690,0.8714,0.9980,0.0349,0.9893,0.9885,0.9901,0.0604,0.9797,0.9390,0.9698
66,0.0385,0.9880,0.9868,0.9893,0.0378,0.9849,0.9870,0.9350,0.0340,0.9896,0.9888,0.9904,0.0518,0.9828,0.9579,0.9618
67,0.0335,0.9893,0.9885,0.9900,0.0284,0.9917,0.9855,0.9741,0.0328,0.9899,0.9892,0.9906,0.0532,0.9832,0.9602,0.9604
68,0.0267,0.9926,0.9920,0.9933,0.0501,0.9819,0.9925,0.9184,0.0334,0.9896,0.9891,0.9902,0.0633,0.9812,0.9456,0.9664
69,0.0279,0.9918,0.9913,0.9923,0.0606,0.9848,0.9340,0.9944,0.0364,0.9885,0.9881,0.9889,0.0728,0.9788,0.9299,0.9724
70,0.0446,0.9840,0.9838,0.9843,0.1436,0.9601,0.8299,0.9961,0.0397,0.9874,0.9870,0.9878,0.0741,0.9778,0.9313,0.9652
71,0.0432,0.9871,0.9872,0.9870,0.0366,0.9885,0.9639,0.9804,0.0411,0.9871,0.9866,0.9876,0.0712,0.9768,0.9493,0.9384
72,0.0464,0.9856,0.9845,0.9867,0.0333,0.9898,0.9716,0.9776,0.0398,0.9876,0.9870,0.9882,0.0711,0.9746,0.9695,0.9030
73,0.0368,0.9883,0.9873,0.9893,0.1263,0.9516,0.9917,0.7605,0.0373,0.9885,0.9879,0.9891,0.0702,0.9736,0.9820,0.8835
74,0.0346,0.9899,0.9898,0.9900,0.0594,0.9747,0.9854,0.8812,0.0351,0.9892,0.9888,0.9897,0.0636,0.9761,0.9858,0.8923
75,0.0312,0.9901,0.9890,0.9912,0.0590,0.9775,0.9945,0.8932,0.0341,0.9896,0.9894,0.9898,0.0556,0.9805,0.9819,0.9198
76,0.0361,0.9887,0.9895,0.9880,0.0389,0.9872,0.9920,0.9433,0.0338,0.9897,0.9897,0.9898,0.0534,0.9835,0.9700,0.9490
77,0.0313,0.9911,0.9908,0.9915,0.0303,0.9920,0.9764,0.9837,0.0339,0.9897,0.9898,0.9896,0.0587,0.9832,0.9535,0.9690
78,0.0363,0.9887,0.9890,0.9885,0.1013,0.9767,0.8984,0.9949,0.0338,0.9896,0.9897,0.9895,0.0724,0.9786,0.9332,0.9777
79,0.0335,0.9902,0.9912,0.9892,0.0366,0.9872,0.9648,0.9731,0.0334,0.9894,0.9894,0.9894,0.0981,0.9693,0.9039,0.9810
80,0.0319,0.9887,0.9875,0.9900,0.0220,0.9915,0.9909,0.9657,0.0330,0.9893,0.9892,0.9894,0.1258,0.9598,0.8722,0.9855
81,0.0355,0.9886,0.9887,0.9885,0.3668,0.8795,0.6225,0.9987,0.0327,0.9893,0.9892,0.9894,0.1314,0.9587,0.8618,0.9912
82,0.0287,0.9909,0.9905,0.9912,0.0532,0.9859,0.9374,0.9975,0.0326,0.9892,0.9891,0.9892,0.1117,0.9663,0.8777,0.9948
83,0.0344,0.9886,0.9895,0.9877,0.0669,0.9827,0.9186,1.0000,0.0326,0.9891,0.9890,0.9891,0.0890,0.9744,0.9006,0.9933
84,0.0327,0.9875,0.9870,0.9880,0.0781,0.9774,0.8992,0.9961,0.0325,0.9893,0.9891,0.9895,0.0746,0.9791,0.9217,0.9848
85,0.0328,0.9896,0.9888,0.9905,0.1000,0.9745,0.8920,0.9976,0.0319,0.9899,0.9897,0.9900,0.0633,0.9816,0.9450,0.9690
86,0.0337,0.9904,0.9907,0.9900,0.0275,0.9925,0.9921,0.9691,0.0311,0.9904,0.9902,0.9905,0.0520,0.9836,0.9673,0.9530
87,0.0276,0.9921,0.9920,0.9923,0.0576,0.9770,0.9944,0.8894,0.0307,0.9904,0.9903,0.9905,0.0428,0.9856,0.9797,0.9479
88,0.0289,0.9902,0.9902,0.9902,0.0335,0.9877,0.9931,0.9424,0.0310,0.9902,0.9900,0.9903,0.0359,0.9877,0.9814,0.9558
89,0.0333,0.9894,0.9890,0.9897,0.0299,0.9920,0.9698,0.9880,0.0315,0.9900,0.9899,0.9901,0.0318,0.9893,0.9777,0.9677
90,0.0329,0.9894,0.9893,0.9895,0.0279,0.9897,0.9817,0.9653,0.0311,0.9901,0.9901,0.9902,0.0313,0.9896,0.9717,0.9765
91,0.0335,0.9896,0.9893,0.9900,0.0230,0.9915,0.9698,0.9889,0.0302,0.9906,0.9908,0.9905,0.0353,0.9885,0.9629,0.9821
92,0.0244,0.9919,0.9927,0.9910,0.0350,0.9902,0.9744,0.9780,0.0299,0.9910,0.9912,0.9908,0.0430,0.9863,0.9509,0.9861
93,0.0279,0.9920,0.9925,0.9915,0.0619,0.9794,0.9132,0.9952,0.0306,0.9911,0.9911,0.9911,0.0570,0.9822,0.9341,0.9891
94,0.0344,0.9906,0.9907,0.9905,0.0282,0.9910,0.9694,0.9863,0.0314,0.9911,0.9908,0.9915,0.0799,0.9758,0.9111,0.9912
95,0.0345,0.9902,0.9893,0.9912,0.0384,0.9862,0.9384,0.9949,0.0312,0.9912,0.9905,0.9919,0.1003,0.9702,0.8922,0.9923
96,0.0283,0.9923,0.9913,0.9933,0.3005,0.9160,0.7097,0.9963,0.0298,0.9915,0.9906,0.9924,0.0975,0.9710,0.8959,0.9924
97,0.0339,0.9900,0.9888,0.9912,0.0189,0.9925,0.9754,0.9875,0.0282,0.9918,0.9909,0.9928,0.0735,0.9777,0.9190,0.9919
98,0.0198,0.9946,0.9938,0.9955,0.0302,0.9885,0.9497,0.9976,0.0271,0.9919,0.9910,0.9929,0.0532,0.9837,0.9384,0.9917
99,0.0301,0.9912,0.9908,0.9918,0.0247,0.9918,0.9767,0.9827,0.0263,0.9919,0.9910,0.9927,0.0496,0.9855,0.9415,0.9926
100,0.0293,0.9900,0.9883,0.9918,0.0640,0.9818,0.9208,0.9963,0.0257,0.9919,0.9912,0.9926,0.0568,0.9845,0.9342,0.9944
101,0.0169,0.9941,0.9938,0.9945,0.0553,0.9862,0.9391,0.9949,0.0256,0.9919,0.9915,0.9924,0.0656,0.9829,0.9258,0.9960
102,0.0307,0.9907,0.9912,0.9902,0.0795,0.9803,0.9108,1.0000,0.0262,0.9919,0.9916,0.9922,0.0709,0.9820,0.9226,0.9956
103,0.0257,0.9926,0.9915,0.9937,0.0758,0.9782,0.9060,0.9988,0.0268,0.9918,0.9916,0.9919,0.0701,0.9824,0.9278,0.9924
104,0.0255,0.9916,0.9925,0.9908,0.0940,0.9812,0.9136,0.9987,0.0269,0.9918,0.9916,0.9919,0.0661,0.9828,0.9351,0.9882
105,0.0335,0.9904,0.9895,0.9912,0.0297,0.9908,0.9900,0.9648,0.0265,0.9919,0.9918,0.9920,0.0661,0.9815,0.9331,0.9866
106,0.0190,0.9931,0.9935,0.9927,0.0273,0.9925,0.9763,0.9880,0.0263,0.9921,0.9919,0.9923,0.0692,0.9792,0.9239,0.9885
