epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.6934,0.4990,0.4990,0.4790,0.6915,0.5714,0.2112,0.3706,0.6547,0.5570,0.5583,0.5538,0.6033,0.5969,0.3576,0.5721
1,0.6929,0.5107,0.5107,0.5110,0.7000,0.3839,0.2046,0.7649,0.5976,0.6240,0.6298,0.6217,0.5194,0.6823,0.4822,0.6417
2,0.6368,0.6210,0.6098,0.6720,0.3624,0.8785,0.7842,0.5572,0.5086,0.7173,0.7304,0.7085,0.4233,0.7844,0.6081,0.7194
3,0.3955,0.8528,0.8930,0.8015,0.3543,0.9102,0.7249,0.8579,0.4150,0.8037,0.8228,0.7856,0.3515,0.8570,0.6802,0.7884
4,0.3159,0.8850,0.9113,0.8530,0.2592,0.9008,0.7275,0.7832,0.3448,0.8593,0.8788,0.8376,0.3127,0.8884,0.6997,0.8410
5,0.3003,0.8932,0.9137,0.8685,0.3413,0.8924,0.6797,0.9347,0.3040,0.8852,0.9003,0.8674,0.2948,0.8966,0.6961,0.8742
6,0.2855,0.8935,0.9053,0.8790,0.2606,0.8988,0.6935,0.8687,0.2813,0.8957,0.9047,0.8849,0.2861,0.8982,0.6882,0.8928
7,0.2732,0.8970,0.8990,0.8945,0.2610,0.9035,0.7112,0.8929,0.2659,0.9014,0.9052,0.8967,0.2797,0.8991,0.6830,0.9032
8,0.2563,0.9068,0.9057,0.9080,0.3405,0.8890,0.6266,0.9356,0.2540,0.9055,0.9062,0.9048,0.2685,0.9016,0.6876,0.9058
9,0.2421,0.9082,0.9071,0.9094,0.2325,0.9038,0.6844,0.9108,0.2454,0.9086,0.9076,0.9097,0.2534,0.9054,0.7023,0.9013
10,0.2410,0.9118,0.9103,0.9135,0.2452,0.9087,0.7243,0.8988,0.2405,0.9103,0.9084,0.9126,0.2459,0.9075,0.7143,0.8971
11,0.2314,0.9112,0.9097,0.9129,0.1978,0.9251,0.7791,0.8568,0.2388,0.9109,0.9081,0.9144,0.2557,0.9052,0.7109,0.9029
12,0.2441,0.9110,0.9077,0.9150,0.2517,0.8993,0.6877,0.8997,0.2392,0.9107,0.9069,0.9152,0.2775,0.9001,0.6960,0.9180
13,0.2338,0.9125,0.9068,0.9195,0.3207,0.8929,0.6793,0.9492,0.2404,0.9096,0.9054,0.9149,0.2954,0.8968,0.6834,0.9321
14,0.2404,0.9109,0.9060,0.9169,0.3666,0.8745,0.6248,0.9660,0.2404,0.9087,0.9045,0.9140,0.3015,0.8968,0.6790,0.9377
15,0.2555,0.9005,0.8961,0.9060,0.2015,0.9300,0.7622,0.9122,0.2370,0.9095,0.9052,0.9147,0.3013,0.8979,0.6782,0.9373
16,0.2362,0.9082,0.9067,0.9099,0.3885,0.8745,0.6050,0.9524,0.2309,0.9120,0.9075,0.9174,0.2993,0.8984,0.6783,0.9366
17,0.2137,0.9180,0.9110,0.9265,0.2536,0.9097,0.7129,0.9236,0.2263,0.9145,0.9098,0.9203,0.2942,0.8993,0.6808,0.9379
18,0.2230,0.9183,0.9135,0.9240,0.3077,0.8953,0.6726,0.9333,0.2261,0.9154,0.9106,0.9212,0.2854,0.9009,0.6847,0.9401
19,0.2219,0.9178,0.9130,0.9235,0.2986,0.8983,0.6779,0.9663,0.2289,0.9149,0.9103,0.9204,0.2749,0.9024,0.6873,0.9416
20,0.2362,0.9097,0.9047,0.9160,0.2413,0.9135,0.7180,0.9182,0.2316,0.9145,0.9100,0.9200,0.2688,0.9026,0.6862,0.9426
21,0.2403,0.9133,0.9118,0.9150,0.2558,0.8993,0.6703,0.9517,0.2321,0.9149,0.9099,0.9210,0.2733,0.9014,0.6825,0.9435
22,0.2273,0.9179,0.9113,0.9259,0.2640,0.8998,0.6785,0.9479,0.2314,0.9155,0.9098,0.9225,0.2859,0.9000,0.6799,0.9421
