epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.7660,0.4995,0.4995,0.5275,2.1767,0.2113,0.2113,1.0000,0.7225,0.5203,0.5214,0.5263,1.4703,0.2153,0.2094,0.9970
1,0.7052,0.5090,0.5088,0.5175,0.8963,0.2113,0.2093,1.0000,0.6986,0.5442,0.5468,0.5376,1.2867,0.2303,0.2168,0.9885
2,0.6887,0.5425,0.5454,0.5110,0.9207,0.2192,0.1997,0.9924,0.6639,0.5850,0.5901,0.5662,1.1369,0.2808,0.2509,0.9595
3,0.6646,0.5943,0.5999,0.5660,1.4544,0.1994,0.1982,1.0000,0.6152,0.6415,0.6496,0.6163,0.9867,0.3942,0.3380,0.8915
4,0.6203,0.6580,0.6690,0.6255,1.0930,0.2902,0.2256,0.9764,0.5481,0.7088,0.7193,0.6831,0.7790,0.5598,0.4805,0.7796
5,0.5272,0.7495,0.7649,0.7205,0.3839,0.8775,0.7059,0.5822,0.4677,0.7765,0.7882,0.7541,0.5689,0.7163,0.6366,0.6514
6,0.3991,0.8380,0.8481,0.8235,0.3353,0.8839,0.7089,0.7559,0.3897,0.8323,0.8436,0.8144,0.4306,0.8126,0.7470,0.5665
7,0.3258,0.8815,0.8953,0.8640,0.4389,0.8130,1.0000,0.0508,0.3288,0.8694,0.8788,0.8563,0.3603,0.8553,0.7824,0.5793
8,0.2684,0.8984,0.9103,0.8839,0.2773,0.8914,0.7893,0.6425,0.2881,0.8902,0.8965,0.8821,0.3181,0.8756,0.7688,0.6664
9,0.2898,0.8892,0.8910,0.8870,0.3580,0.8695,0.6135,0.9608,0.2606,0.9021,0.9050,0.8984,0.2815,0.8900,0.7589,0.7397
10,0.2332,0.9172,0.9133,0.9220,0.2139,0.9196,0.7533,0.8692,0.2389,0.9107,0.9114,0.9098,0.2485,0.9019,0.7731,0.7660
11,0.2346,0.9072,0.9112,0.9025,0.2575,0.8814,0.8375,0.5012,0.2198,0.9184,0.9179,0.9190,0.2250,0.9121,0.7898,0.7916
12,0.2075,0.9245,0.9220,0.9275,0.1595,0.9410,0.8402,0.8512,0.2035,0.9254,0.9239,0.9270,0.2198,0.9177,0.7870,0.8427
13,0.1869,0.9342,0.9319,0.9370,0.2312,0.9221,0.7500,0.9586,0.1907,0.9308,0.9290,0.9329,0.2352,0.9155,0.7688,0.8857
14,0.1823,0.9333,0.9296,0.9375,0.1404,0.9474,0.8304,0.9254,0.1809,0.9348,0.9333,0.9365,0.2566,0.9084,0.7582,0.8825
15,0.1838,0.9329,0.9325,0.9334,0.4932,0.8345,0.5457,0.9671,0.1724,0.9381,0.9372,0.9392,0.2587,0.9050,0.7753,0.8323
16,0.1637,0.9442,0.9445,0.9440,0.1315,0.9515,0.8945,0.8561,0.1647,0.9411,0.9406,0.9416,0.2346,0.9100,0.8120,0.7800
17,0.1579,0.9407,0.9405,0.9409,0.3092,0.8611,0.8358,0.4048,0.1592,0.9434,0.9429,0.9439,0.2016,0.9211,0.8385,0.7814
18,0.1509,0.9467,0.9470,0.9465,0.1079,0.9593,0.8937,0.8982,0.1564,0.9449,0.9440,0.9458,0.1826,0.9311,0.8359,0.8378
19,0.1576,0.9460,0.9442,0.9480,0.1244,0.9544,0.8766,0.9205,0.1547,0.9460,0.9449,0.9472,0.1866,0.9346,0.8110,0.8992
20,0.1598,0.9438,0.9413,0.9465,0.2057,0.9301,0.7480,0.9614,0.1515,0.9472,0.9461,0.9485,0.1980,0.9341,0.7897,0.9309
21,0.1508,0.9492,0.9495,0.9490,0.3053,0.9070,0.6946,0.9629,0.1464,0.9487,0.9477,0.9499,0.1961,0.9358,0.7910,0.9350
22,0.1425,0.9492,0.9481,0.9505,0.1419,0.9524,0.8329,0.9373,0.1407,0.9506,0.9497,0.9517,0.1839,0.9395,0.8050,0.9303
23,0.1340,0.9505,0.9487,0.9525,0.1517,0.9480,0.8615,0.8747,0.1356,0.9529,0.9520,0.9539,0.1800,0.9405,0.8092,0.9323
24,0.1366,0.9528,0.9534,0.9520,0.1481,0.9504,0.8366,0.9358,0.1320,0.9551,0.9540,0.9564,0.1867,0.9390,0.8046,0.9401
25,0.1235,0.9617,0.9601,0.9635,0.2434,0.9175,0.7156,0.9852,0.1298,0.9567,0.9554,0.9582,0.1864,0.9401,0.8147,0.9394
26,0.1296,0.9545,0.9522,0.9570,0.2375,0.9315,0.7601,0.9833,0.1280,0.9577,0.9564,0.9591,0.1671,0.9468,0.8495,0.9258
27,0.1342,0.9588,0.9562,0.9615,0.1168,0.9603,0.9609,0.8390,0.1249,0.9587,0.9578,0.9597,0.1377,0.9557,0.8903,0.9114
28,0.1227,0.9575,0.9584,0.9565,0.1070,0.9673,0.9024,0.9343,0.1201,0.9602,0.9598,0.9607,0.1137,0.9628,0.9170,0.9074
29,0.1194,0.9610,0.9610,0.9610,0.0990,0.9623,0.9474,0.8730,0.1149,0.9619,0.9617,0.9622,0.1009,0.9668,0.9260,0.9139
30,0.0990,0.9665,0.9656,0.9675,0.0906,0.9727,0.9335,0.9312,0.1098,0.9638,0.9636,0.9640,0.0975,0.9682,0.9212,0.9258
31,0.1254,0.9587,0.9599,0.9575,0.0899,0.9722,0.9317,0.9317,0.1036,0.9661,0.9659,0.9664,0.1010,0.9673,0.9083,0.9363
32,0.1016,0.9680,0.9657,0.9705,0.0873,0.9692,0.9051,0.9490,0.0968,0.9684,0.9681,0.9688,0.1060,0.9658,0.8975,0.9408
33,0.0720,0.9762,0.9784,0.9740,0.1551,0.9525,0.8197,0.9775,0.0930,0.9695,0.9690,0.9701,0.1059,0.9660,0.8969,0.9403
34,0.0968,0.9682,0.9666,0.9700,0.0962,0.9665,0.9432,0.8760,0.0932,0.9693,0.9687,0.9700,0.1011,0.9676,0.9017,0.9409
35,0.0942,0.9685,0.9657,0.9715,0.0686,0.9807,0.9284,0.9706,0.0951,0.9686,0.9681,0.9691,0.0980,0.9681,0.9038,0.9415
36,0.0956,0.9680,0.9704,0.9655,0.1157,0.9635,0.8691,0.9625,0.0961,0.9682,0.9679,0.9685,0.0990,0.9667,0.9042,0.9359
37,0.1041,0.9670,0.9661,0.9680,0.0947,0.9673,0.8914,0.9594,0.0947,0.9685,0.9684,0.9687,0.1038,0.9644,0.9017,0.9299
38,0.0914,0.9682,0.9670,0.9695,0.0919,0.9605,0.9751,0.8151,0.0908,0.9697,0.9697,0.9696,0.1143,0.9615,0.8879,0.9371
39,0.0939,0.9688,0.9699,0.9675,0.1267,0.9635,0.8556,0.9877,0.0854,0.9715,0.9717,0.9712,0.1375,0.9557,0.8585,0.9563
40,0.0805,0.9730,0.9735,0.9725,0.1147,0.9615,0.8455,0.9875,0.0808,0.9730,0.9732,0.9729,0.1778,0.9450,0.8210,0.9716
41,0.0655,0.9787,0.9795,0.9780,0.1050,0.9660,0.8604,0.9845,0.0791,0.9735,0.9734,0.9737,0.2190,0.9337,0.7918,0.9746
42,0.0840,0.9718,0.9710,0.9725,0.5159,0.8507,0.5763,0.9976,0.0797,0.9733,0.9729,0.9736,0.2343,0.9294,0.7832,0.9710
43,0.0832,0.9712,0.9687,0.9740,0.0985,0.9663,0.9264,0.9133,0.0803,0.9730,0.9728,0.9731,0.2228,0.9321,0.7885,0.9697
44,0.0789,0.9745,0.9764,0.9725,0.1808,0.9509,0.8095,0.9927,0.0802,0.9731,0.9734,0.9728,0.2006,0.9374,0.8017,0.9687
45,0.0812,0.9712,0.9710,0.9715,0.3297,0.8895,0.6368,0.9948,0.0799,0.9732,0.9739,0.9725,0.1704,0.9453,0.8316,0.9586
46,0.0790,0.9750,0.9764,0.9735,0.0739,0.9760,0.9317,0.9614,0.0809,0.9730,0.9739,0.9721,0.1391,0.9534,0.8722,0.9314
47,0.0738,0.9747,0.9759,0.9735,0.0819,0.9767,0.9658,0.9152,0.0838,0.9721,0.9729,0.9714,0.1229,0.9556,0.9022,0.8894
48,0.0885,0.9700,0.9709,0.9690,0.1026,0.9623,0.8522,0.9685,0.0875,0.9709,0.9713,0.9704,0.1205,0.9537,0.9171,0.8524
49,0.0899,0.9722,0.9725,0.9720,0.1975,0.9107,0.9583,0.5750,0.0894,0.9701,0.9704,0.9699,0.1146,0.9554,0.9248,0.8501
50,0.1071,0.9625,0.9607,0.9645,0.0897,0.9702,0.9138,0.9369,0.0883,0.9704,0.9707,0.9700,0.1006,0.9620,0.9260,0.8847
51,0.0718,0.9753,0.9769,0.9735,0.0640,0.9772,0.9712,0.9138,0.0865,0.9710,0.9716,0.9704,0.0881,0.9682,0.9198,0.9267
52,0.0828,0.9735,0.9754,0.9715,0.0922,0.9692,0.8777,0.9853,0.0864,0.9711,0.9717,0.9705,0.0823,0.9711,0.9114,0.9531
53,0.0918,0.9690,0.9685,0.9695,0.0764,0.9727,0.9095,0.9640,0.0868,0.9710,0.9716,0.9705,0.0810,0.9717,0.9079,0.9610
