epoch,loss,val_loss,val_accuracy,loss_sm,val_loss_sm,val_accuracy_sm
0,0.8888,0.7035,0.5000,0.8137,0.7137,0.5000
1,0.7469,0.7015,0.5000,0.7612,0.7505,0.5000
2,0.7384,0.7625,0.5000,0.7336,0.8186,0.5000
3,0.7236,0.8809,0.5000,0.7212,0.8803,0.5000
4,0.7162,0.9227,0.5000,0.7132,0.9007,0.5000
5,0.7086,0.9084,0.5000,0.7085,0.8857,0.5000
6,0.7041,0.8679,0.5000,0.7076,0.8587,0.5007
7,0.7106,0.8453,0.5000,0.7079,0.8276,0.5051
8,0.7066,0.8290,0.5000,0.7065,0.7852,0.5151
9,0.7094,0.7381,0.5375,0.7024,0.7481,0.5197
10,0.6957,0.7291,0.5125,0.6980,0.7306,0.5177
11,0.6976,0.7393,0.5125,0.6946,0.7150,0.5222
12,0.6942,0.6949,0.5250,0.6920,0.6977,0.5348
13,0.6836,0.6909,0.5437,0.6927,0.6868,0.5499
14,0.7032,0.6805,0.5562,0.6923,0.6840,0.5594
15,0.6877,0.6773,0.5813,0.6872,0.7065,0.5500
16,0.6856,0.6766,0.5375,0.6808,0.7753,0.5266
17,0.6779,0.8664,0.5000,0.6770,0.8355,0.5201
18,0.6627,0.9195,0.5000,0.6819,0.8413,0.5381
19,0.7021,0.6740,0.6062,0.6858,0.9083,0.5374
20,0.6842,1.0505,0.5000,0.6803,1.1061,0.5138
21,0.6719,1.0184,0.5000,0.6760,1.4138,0.5019
22,0.6731,1.8762,0.5000,0.6783,1.6501,0.5001
23,0.6813,1.6579,0.5000,0.6804,1.7492,0.5000
24,0.6924,1.6884,0.5000,0.6704,2.0183,0.5000
25,0.6619,1.8920,0.5000,0.6537,2.5785,0.5000
26,0.6224,3.5139,0.5000,0.6499,2.8862,0.5000
27,0.6766,2.9818,0.5000,0.6488,2.6594,0.5000
28,0.6362,2.1376,0.5000,0.6370,2.4223,0.5000
29,0.6384,2.5391,0.5000,0.6191,2.4609,0.5000
30,0.6047,2.0120,0.5000,0.5974,2.8444,0.5000
31,0.5891,3.5768,0.5000,0.5759,3.2718,0.5000
32,0.5602,3.4267,0.5000,0.5573,3.2758,0.5000
33,0.5516,3.5408,0.5000,0.5415,2.8089,0.5003
34,0.5300,2.2162,0.5000,0.5222,2.1632,0.5047
35,0.5325,1.9310,0.5000,0.4906,1.5803,0.5338
36,0.4489,1.3180,0.5063,0.4624,1.0369,0.6146
37,0.4459,0.5733,0.7063,0.4567,0.6656,0.7129
38,0.4633,0.5469,0.7625,0.4583,0.5069,0.7823
39,0.4678,0.4421,0.8125,0.4462,0.4378,0.8274
40,0.4409,0.4068,0.8562,0.4163,0.4113,0.8462
41,0.3990,0.3690,0.8813,0.3815,0.4153,0.8367
42,0.3466,0.5012,0.7625,0.3629,0.4008,0.8409
43,0.3582,0.3124,0.9000,0.3610,0.3716,0.8602
44,0.3761,0.4132,0.8438,0.3549,0.3472,0.8678
45,0.3394,0.2970,0.8938,0.3459,0.3254,0.8668
46,0.3364,0.3196,0.8438,0.3476,0.3212,0.8650
47,0.3548,0.3355,0.8750,0.3512,0.3248,0.8671
48,0.3666,0.2906,0.8687,0.3424,0.3595,0.8568
49,0.3188,0.3694,0.8750,0.3284,0.4465,0.8219
50,0.3356,0.5136,0.7688,0.3123,0.5506,0.7802
51,0.3016,0.6062,0.7875,0.2909,0.6045,0.7552
52,0.2693,0.7422,0.6750,0.2775,0.5429,0.7735
53,0.2732,0.3792,0.8438,0.2754,0.4471,0.8085
54,0.2802,0.4000,0.8375,0.2774,0.4107,0.8131
55,0.2655,0.4653,0.7625,0.2822,0.3757,0.8267
56,0.3100,0.2836,0.8625,0.2782,0.3407,0.8608
57,0.2600,0.3677,0.8813,0.2700,0.3335,0.8785
58,0.2487,0.2801,0.9062,0.2759,0.3539,0.8685
59,0.3184,0.4050,0.8313,0.2733,0.3707,0.8606
60,0.2524,0.4286,0.8500,0.2604,0.3266,0.8811
61,0.2277,0.2271,0.9125,0.2658,0.2708,0.9076
62,0.3188,0.2641,0.9187,0.2662,0.2747,0.9120
63,0.2335,0.1973,0.9438,0.2551,0.3539,0.8828
64,0.2518,0.5215,0.8250,0.2493,0.4396,0.8444
65,0.2719,0.3955,0.8500,0.2351,0.4947,0.8192
66,0.1887,0.6087,0.7688,0.2277,0.5740,0.7974
67,0.2425,0.3662,0.8813,0.2367,0.7101,0.7582
68,0.2440,1.2659,0.5813,0.2449,0.6612,0.7723
69,0.2392,0.3463,0.8562,0.2539,0.4092,0.8583
70,0.2701,0.2432,0.9312,0.2584,0.2752,0.9079
71,0.2645,0.1915,0.9375,0.2484,0.3387,0.8863
72,0.2371,0.2895,0.8875,0.2356,0.5164,0.8296
73,0.2133,0.9680,0.7063,0.2310,0.5450,0.8190
74,0.2665,0.2793,0.8813,0.2172,0.4488,0.8495
75,0.1774,0.4439,0.8625,0.2025,0.4582,0.8480
76,0.1887,0.3725,0.8875,0.2101,0.5490,0.8105
77,0.2420,0.8552,0.6812,0.2188,0.5424,0.8083
78,0.2027,0.3527,0.8875,0.2203,0.4321,0.8462
79,0.2372,0.4339,0.8375,0.2213,0.3384,0.8781
80,0.2021,0.2556,0.9062,0.2282,0.2669,0.9073
81,0.2412,0.2390,0.9187,0.2383,0.2251,0.9275
82,0.2612,0.2033,0.9500,0.2334,0.2129,0.9284
83,0.2053,0.1756,0.9312,0.2226,0.2339,0.9128
84,0.2372,0.3076,0.8750,0.2165,0.2618,0.9058
85,0.1854,0.1995,0.9312,0.2220,0.2938,0.9060
86,0.2463,0.3992,0.8875,0.2335,0.3044,0.9066
87,0.2421,0.2743,0.9125,0.2354,0.2786,0.9102
88,0.2194,0.2357,0.9250,0.2338,0.2770,0.9033
89,0.2625,0.2879,0.8875,0.2205,0.3010,0.8911
90,0.1931,0.3456,0.8813,0.2005,0.3140,0.8841
91,0.1800,0.2825,0.8938,0.1981,0.3562,0.8662
92,0.2105,0.2880,0.8750,0.2078,0.4518,0.8357
93,0.2043,0.7808,0.7437,0.2190,0.4211,0.8471
94,0.2373,0.2311,0.9000,0.2265,0.2665,0.8969
95,0.2211,0.1480,0.9375,0.2289,0.2037,0.9181
96,0.2376,0.1613,0.9375,0.2294,0.2870,0.8884
97,0.2197,0.2854,0.8813,0.2289,0.4316,0.8393
98,0.2440,0.7893,0.7188,0.2219,0.4293,0.8449
99,0.2102,0.1887,0.9312,0.2108,0.3607,0.8701
100,0.1933,0.2541,0.9187,0.2112,0.4516,0.8304
101,0.2232,0.6607,0.7375,0.2170,0.5545,0.7867
102,0.2252,0.6615,0.7500,0.2155,0.5633,0.7886
103,0.2018,0.2497,0.8875,0.2136,0.6515,0.7745
104,0.2224,1.1040,0.6500,0.2144,0.7114,0.7622
