epoch,loss,val_loss,val_accuracy,loss_sm,val_loss_sm,val_accuracy_sm
0,0.8653,0.6941,0.5000,0.7761,0.6937,0.5000
1,0.6935,0.6933,0.5000,0.7184,0.6934,0.5003
2,0.6928,0.6933,0.5000,0.6961,0.6933,0.5011
3,0.6922,0.6933,0.5024,0.6934,0.6933,0.5011
4,0.6944,0.6933,0.5024,0.6935,0.6933,0.4995
5,0.6930,0.6933,0.4952,0.6936,0.6933,0.4993
6,0.6937,0.6932,0.5000,0.6939,0.6933,0.5011
7,0.6946,0.6934,0.5048,0.6939,0.6934,0.5017
8,0.6932,0.6935,0.5000,0.6935,0.6935,0.5009
9,0.6938,0.6936,0.5000,0.6933,0.6934,0.5010
10,0.6926,0.6933,0.5024,0.6935,0.6934,0.5015
11,0.6939,0.6935,0.5000,0.6940,0.6934,0.5021
12,0.6946,0.6933,0.5048,0.6940,0.6934,0.5024
13,0.6939,0.6936,0.5000,0.6935,0.6934,0.5024
14,0.6926,0.6932,0.5048,0.6932,0.6933,0.5028
15,0.6932,0.6933,0.5000,0.6934,0.6933,0.5038
16,0.6938,0.6932,0.5072,0.6934,0.6932,0.5046
17,0.6933,0.6932,0.5048,0.6932,0.6932,0.5031
18,0.6929,0.6932,0.5024,0.6929,0.6932,0.5005
19,0.6928,0.6932,0.4976,0.6929,0.6932,0.4991
