epoch,loss,val_loss,val_accuracy,loss_sm,val_loss_sm,val_accuracy_sm
0,0.8672,0.6934,0.5000,0.7771,0.6933,0.5000
1,0.6932,0.6932,0.5000,0.7194,0.6932,0.5000
2,0.6935,0.6931,0.5000,0.6980,0.6932,0.5000
3,0.6968,0.6935,0.5000,0.6952,0.6932,0.5000
4,0.6946,0.6931,0.5000,0.6942,0.6932,0.5000
5,0.6934,0.6933,0.5000,0.6935,0.6932,0.5000
6,0.6932,0.6931,0.5000,0.6934,0.6932,0.5000
7,0.6933,0.6932,0.5000,0.6937,0.6935,0.5000
8,0.6940,0.6935,0.5000,0.6941,0.6938,0.5000
9,0.6945,0.6941,0.5000,0.6944,0.6941,0.5000
10,0.6943,0.6946,0.5000,0.6946,0.6939,0.5000
11,0.6953,0.6934,0.5000,0.6944,0.6935,0.5000
12,0.6939,0.6932,0.5000,0.6939,0.6932,0.5000
13,0.6935,0.6932,0.5000,0.6937,0.6932,0.5000
