epoch,loss,val_loss,val_accuracy,loss_sm,val_loss_sm,val_accuracy_sm
0,0.7301,0.6916,0.5000,0.7182,0.6940,0.5000
1,0.7061,0.6954,0.5000,0.7114,0.6964,0.5000
2,0.7096,0.6978,0.5000,0.7085,0.6989,0.5000
3,0.7114,0.7001,0.5000,0.7044,0.7011,0.5000
4,0.6983,0.7025,0.5000,0.7003,0.7032,0.5000
5,0.6967,0.7035,0.5000,0.6995,0.7054,0.5000
6,0.7032,0.7082,0.5000,0.6991,0.7076,0.5000
7,0.6969,0.7054,0.5000,0.6976,0.7106,0.5000
8,0.6962,0.7163,0.5000,0.6972,0.7127,0.5000
9,0.6978,0.7121,0.5000,0.6987,0.7127,0.5000
10,0.6965,0.7127,0.5000,0.7019,0.7128,0.5000
11,0.7090,0.7110,0.5000,0.7036,0.7139,0.5000
12,0.7022,0.7186,0.5000,0.7022,0.7140,0.5000
13,0.7014,0.7108,0.5000,0.7002,0.7131,0.5000
14,0.6995,0.7137,0.5000,0.6979,0.7129,0.5000
15,0.6962,0.7126,0.5000,0.6962,0.7130,0.5000
16,0.6934,0.7130,0.5000,0.6971,0.7130,0.5000
17,0.6988,0.7139,0.5000,0.6996,0.7125,0.5000
18,0.7021,0.7112,0.5000,0.7009,0.7120,0.5000
