,id,name,\bn{},$\filtsym$,$\nctwo$,$\ncthr$,depth, runtime, step,best epoch,epoch,best val. loss,best val. precision, timestamp,best val. accuracy
4,rqvcpm69,sage-sweep-11,\true,6,3,1,,438249.0,53.0,51.0,53.0,0.06402754038572311,0.914444786310196,1649689034.0,
5,skaoai90,absurd-sweep-10,\true,4,2,1,,637063.0,53.0,50.0,53.0,0.12857112288475037,0.912546968460083,1649682273.0,
2,5qooe1a2,hopeful-sweep-13,\true,6,1,3,,391736.0,53.0,43.0,53.0,0.059126000851392746,0.904292356967926,1649916885.0,0.7937146812677384
8,ix1rstki,whole-sweep-7,\false,5,2,2,,367868.0,53.0,50.0,53.0,0.11743059009313583,0.8178995847702026,1649040722.0,0.9426948428153992
0,yb0kf4h2,visionary-sweep-15,\true,2,2,2,,337765.0,53.0,52.0,53.0,0.18808892369270325,0.8139626502990722,1650110322.0,
14,9x1zx0g6,floral-sweep-1,\false,4,2,1,,438424.0,53.0,25.0,53.0,0.16801954805850983,0.8033089399337768,1649403601.0,0.9334670662879944
3,nx54kzaf,ancient-sweep-12,\false,2,2,2,,512023.0,53.0,43.0,53.0,0.14499901235103607,0.780715388059616,1649905455.0,0.9031587362289428
6,gxmn7ntn,vague-sweep-9,\true,2,3,1,,636162.0,53.0,46.0,53.0,0.1648867279291153,0.7757594227790833,1649681116.0,
7,98nmay56,lucky-sweep-8,\false,3,1,3,,576351.0,53.0,39.0,53.0,0.1506161391735077,0.7746730506420135,1649390537.0,0.9320317447185515
1,f1o15i6f,classic-sweep-14,\false,2,2,3,,341041.0,53.0,46.0,53.0,0.15991364419460297,0.750318032503128,1650025258.0,
9,u8maqioh,smooth-sweep-6,\false,3,3,1,,369854.0,53.0,52.0,53.0,0.1642935574054718,0.7315977215766907,1649040540.0,0.9158170580863952
10,f743jash,fanciful-sweep-5,\true,3,3,2,,475241.0,53.0,29.0,53.0,0.1645670384168625,0.7077585935592652,1649542061.0,0.8858341217041016
11,86ae75jb,polished-sweep-4,\true,4,1,1,,320998.0,21.0,20.0,21.0,0.5149176120758057,0.340020015835762,1648637554.0,0.6796857178211212
13,6yzdfvh7,vibrant-sweep-2,\false,6,2,3,,97345.0,17.0,2.0,17.0,0.6899318099021912,0.21346444338560103,1648315936.0,0.5367738097906113
12,87t6xd8t,youthful-sweep-3,\false,6,3,3,,98900.0,17.0,16.0,17.0,0.6741999387741089,0.1566297709941864,1648318796.0,0.6689273744821549
