epoch,loss,val_loss,loss_sm,val_loss_sm
0,0.8888,0.7035,0.8137,0.7137
1,0.7469,0.7015,0.7612,0.7505
2,0.7384,0.7625,0.7336,0.8186
3,0.7236,0.8809,0.7212,0.8803
4,0.7162,0.9227,0.7132,0.9007
5,0.7086,0.9084,0.7085,0.8857
6,0.7041,0.8679,0.7076,0.8587
7,0.7106,0.8453,0.7079,0.8276
8,0.7066,0.8290,0.7065,0.7852
9,0.7094,0.7381,0.7024,0.7481
10,0.6957,0.7291,0.6980,0.7306
11,0.6976,0.7393,0.6946,0.7150
12,0.6942,0.6949,0.6920,0.6977
13,0.6836,0.6909,0.6927,0.6868
14,0.7032,0.6805,0.6923,0.6840
15,0.6877,0.6773,0.6872,0.7065
16,0.6856,0.6766,0.6808,0.7753
17,0.6779,0.8664,0.6770,0.8355
18,0.6627,0.9195,0.6819,0.8413
19,0.7021,0.6740,0.6858,0.9083
20,0.6842,1.0505,0.6803,1.1061
21,0.6719,1.0184,0.6760,1.4138
22,0.6731,1.8762,0.6783,1.6501
23,0.6813,1.6579,0.6804,1.7492
24,0.6924,1.6884,0.6704,2.0183
25,0.6619,1.8920,0.6537,2.5785
26,0.6224,3.5139,0.6499,2.8862
27,0.6766,2.9818,0.6488,2.6594
28,0.6362,2.1376,0.6370,2.4223
29,0.6384,2.5391,0.6191,2.4609
30,0.6047,2.0120,0.5974,2.8444
31,0.5891,3.5768,0.5759,3.2718
32,0.5602,3.4267,0.5573,3.2758
33,0.5516,3.5408,0.5415,2.8089
34,0.5300,2.2162,0.5222,2.1632
35,0.5325,1.9310,0.4906,1.5803
36,0.4489,1.3180,0.4624,1.0369
37,0.4459,0.5733,0.4567,0.6656
38,0.4633,0.5469,0.4583,0.5069
39,0.4678,0.4421,0.4462,0.4378
40,0.4409,0.4068,0.4163,0.4113
41,0.3990,0.3690,0.3815,0.4153
42,0.3466,0.5012,0.3629,0.4008
43,0.3582,0.3124,0.3610,0.3716
44,0.3761,0.4132,0.3549,0.3472
45,0.3394,0.2970,0.3459,0.3254
46,0.3364,0.3196,0.3476,0.3212
47,0.3548,0.3355,0.3512,0.3248
48,0.3666,0.2906,0.3424,0.3595
49,0.3188,0.3694,0.3284,0.4465
50,0.3356,0.5136,0.3123,0.5506
51,0.3016,0.6062,0.2909,0.6045
52,0.2693,0.7422,0.2775,0.5429
53,0.2732,0.3792,0.2754,0.4471
54,0.2802,0.4000,0.2774,0.4107
55,0.2655,0.4653,0.2822,0.3757
56,0.3100,0.2836,0.2782,0.3407
57,0.2600,0.3677,0.2700,0.3335
58,0.2487,0.2801,0.2759,0.3539
59,0.3184,0.4050,0.2733,0.3707
60,0.2524,0.4286,0.2604,0.3266
61,0.2277,0.2271,0.2658,0.2708
62,0.3188,0.2641,0.2662,0.2747
63,0.2335,0.1973,0.2551,0.3539
64,0.2518,0.5215,0.2493,0.4396
65,0.2719,0.3955,0.2351,0.4947
66,0.1887,0.6087,0.2277,0.5740
67,0.2425,0.3662,0.2367,0.7101
68,0.2440,1.2659,0.2449,0.6612
69,0.2392,0.3463,0.2539,0.4092
70,0.2701,0.2432,0.2584,0.2752
71,0.2645,0.1915,0.2484,0.3387
72,0.2371,0.2895,0.2356,0.5164
73,0.2133,0.9680,0.2310,0.5450
74,0.2665,0.2793,0.2172,0.4488
75,0.1774,0.4439,0.2025,0.4582
76,0.1887,0.3725,0.2101,0.5490
77,0.2420,0.8552,0.2188,0.5424
78,0.2027,0.3527,0.2203,0.4321
79,0.2372,0.4339,0.2213,0.3384
80,0.2021,0.2556,0.2282,0.2669
81,0.2412,0.2390,0.2383,0.2251
82,0.2612,0.2033,0.2334,0.2129
83,0.2053,0.1756,0.2226,0.2339
84,0.2372,0.3076,0.2165,0.2618
85,0.1854,0.1995,0.2220,0.2938
86,0.2463,0.3992,0.2335,0.3044
87,0.2421,0.2743,0.2354,0.2786
88,0.2194,0.2357,0.2338,0.2770
89,0.2625,0.2879,0.2205,0.3010
90,0.1931,0.3456,0.2005,0.3140
91,0.1800,0.2825,0.1981,0.3562
92,0.2105,0.2880,0.2078,0.4518
93,0.2043,0.7808,0.2190,0.4211
94,0.2373,0.2311,0.2265,0.2665
95,0.2211,0.1480,0.2289,0.2037
96,0.2376,0.1613,0.2294,0.2870
97,0.2197,0.2854,0.2289,0.4316
98,0.2440,0.7893,0.2219,0.4293
99,0.2102,0.1887,0.2108,0.3607
100,0.1933,0.2541,0.2112,0.4516
101,0.2232,0.6607,0.2170,0.5545
102,0.2252,0.6615,0.2155,0.5633
103,0.2018,0.2497,0.2136,0.6515
104,0.2224,1.1040,0.2144,0.7114
105,0.2085,0.4907,0.2138,0.6298
106,0.2218,0.7820,0.2121,0.4755
107,0.1975,0.2273,0.2139,0.3389
108,0.2277,0.2244,0.2181,0.3872
109,0.2113,0.4143,0.2205,0.5450
110,0.2304,0.8525,0.2153,0.5680
111,0.2234,0.4614,0.1992,0.4681
112,0.1541,0.2778,0.1977,0.4485
113,0.2189,0.6485,0.2133,0.4257
114,0.2242,0.3288,0.2193,0.3222
115,0.2287,0.2588,0.2109,0.2347
116,0.1936,0.1755,0.2038,0.2033
