epoch,loss,val_loss,loss_sm,val_loss_sm
0,0.9100,7.6246,0.8000,7.5108
1,0.6991,7.6246,0.7280,6.7860
2,0.6946,7.4922,0.6989,4.7849
3,0.6964,2.4617,0.6919,2.6135
4,0.6894,0.8650,0.6850,1.9295
5,0.6850,2.1701,0.6713,2.2746
6,0.6681,2.7429,0.6492,2.5064
7,0.6301,2.6834,0.6319,2.4144
8,0.6044,1.8728,0.6243,2.2732
9,0.6821,3.0866,0.5829,1.8003
10,0.5367,0.9058,0.5030,1.1301
11,0.4329,0.6514,0.4385,0.8942
12,0.4282,0.9960,0.3924,0.9092
13,0.3687,0.9806,0.3524,0.8498
14,0.3033,0.7831,0.3383,0.8426
15,0.3548,0.4212,0.3423,1.2448
16,0.3453,1.7627,0.3356,1.8416
17,0.3453,2.4861,0.3229,2.0334
18,0.2667,1.8683,0.3729,1.7973
19,0.3179,1.9350,0.5088,1.3046
20,0.8349,0.7373,0.5407,0.8066
21,0.4317,0.5160,0.4263,0.5861
22,0.3340,0.5322,0.3335,0.5586
23,0.2888,0.5970,0.3022,0.6351
24,0.2910,0.4250,0.3048,0.8954
25,0.3112,1.3347,0.3124,1.1625
26,0.3416,1.3008,0.2998,1.2552
27,0.2667,1.0839,0.2778,1.4263
28,0.2717,1.5060,0.2645,1.8103
29,0.2615,2.1451,0.2561,2.2239
30,0.2394,2.3954,0.2555,2.5726
31,0.2689,2.6966,0.2570,2.7781
32,0.2563,3.3611,0.2530,2.4375
33,0.2438,2.2294,0.2523,1.6377
34,0.2528,0.3364,0.2553,1.2204
35,0.2694,1.8168,0.2479,1.1004
36,0.2423,0.7946,0.2278,0.9796
37,0.2084,0.4222,0.2175,1.2216
38,0.1890,2.3074,0.2391,1.6696
39,0.2755,0.2732,0.2686,2.4797
40,0.3058,5.0360,0.2668,2.8273
41,0.2410,2.1251,0.2491,2.2063
42,0.2348,1.5282,0.2413,1.8041
43,0.2544,1.7154,0.2339,1.7745
44,0.2178,2.1710,0.2270,1.7811
45,0.2171,0.8058,0.2289,2.0887
46,0.2534,3.4591,0.2259,2.2744
47,0.2035,1.8514,0.2242,1.8601
48,0.2158,1.9683,0.2383,1.1947
49,0.2740,0.3065,0.2463,0.7199
50,0.2344,0.6274,0.2356,0.7137
51,0.2505,0.5869,0.2107,1.1206
52,0.1706,1.2979,0.1920,1.9690
53,0.1773,2.1602,0.1968,2.8408
54,0.2259,5.0492,0.2036,2.7975
55,0.1868,0.3821,0.2069,2.6714
56,0.2164,4.0786,0.2131,2.7588
57,0.2193,3.0475,0.2102,2.0077
58,0.2190,0.7054,0.1920,1.1894
59,0.1644,1.0269,0.1735,0.8952
60,0.1665,0.7613,0.1679,0.8322
