epoch,loss,val_loss,loss_sm,val_loss_sm
0,0.7485,0.6922,0.7380,0.6930
1,0.7308,0.6933,0.7286,0.6938
2,0.7224,0.6949,0.7218,0.6940
3,0.7188,0.6937,0.7171,0.6939
4,0.7180,0.6937,0.7114,0.6944
5,0.7044,0.6939,0.7067,0.6959
6,0.7039,0.6974,0.7054,0.6976
7,0.7079,0.6994,0.7046,0.6977
8,0.7019,0.6984,0.7037,0.6961
9,0.7038,0.6920,0.7037,0.6957
10,0.7047,0.6972,0.7033,0.6975
11,0.7031,0.6970,0.7017,0.7005
12,0.7003,0.7044,0.7002,0.7025
13,0.6985,0.7041,0.6999,0.7018
14,0.7017,0.7001,0.6995,0.7001
15,0.6979,0.6984,0.6991,0.6992
16,0.6987,0.7016,0.6998,0.6980
17,0.7006,0.6937,0.7016,0.6987
18,0.7013,0.6975,0.7038,0.7035
19,0.7084,0.7110,0.7042,0.7070
20,0.7024,0.7100,0.7029,0.7050
21,0.7014,0.7010,0.7021,0.7016
22,0.7036,0.6969,0.7012,0.7014
23,0.6993,0.7068,0.7001,0.7013
24,0.7005,0.6981,0.6988,0.6998
25,0.6979,0.6997,0.6974,0.6989
26,0.6959,0.6989,0.6967,0.6980
27,0.6972,0.6965,0.6962,0.6980
28,0.6957,0.6970,0.6958,0.6996
29,0.6953,0.7030,0.6956,0.7008
30,0.6963,0.7011,0.6952,0.7005
31,0.6941,0.6975,0.6947,0.7013
32,0.6953,0.7042,0.6943,0.7023
33,0.6933,0.7043,0.6938,0.7005
34,0.6942,0.6977,0.6935,0.6977
35,0.6926,0.6944,0.6935,0.6971
36,0.6937,0.6989,0.6940,0.6976
37,0.6951,0.6986,0.6942,0.6965
38,0.6940,0.6951,0.6952,0.6950
39,0.6917,0.6926,0.6993,0.6955
40,0.7079,0.6960,0.7026,0.6992
41,0.7019,0.7002,0.7023,0.7053
42,0.7023,0.7107,0.7009,0.7123
43,0.7000,0.7129,0.6993,0.7191
44,0.6988,0.7281,0.6979,0.7220
45,0.6957,0.7236,0.6973,0.7206
46,0.6987,0.7104,0.6970,0.7217
47,0.6957,0.7338,0.6967,0.7211
48,0.6970,0.7191,0.6964,0.7131
49,0.6969,0.7050,0.6956,0.7046
50,0.6940,0.7003,0.6949,0.7001
51,0.6953,0.6979,0.6949,0.6985
52,0.6938,0.6974,0.6955,0.6991
53,0.6974,0.7001,0.6959,0.7002
54,0.6957,0.7025,0.6953,0.6997
55,0.6946,0.6968,0.6948,0.6987
56,0.6945,0.7005,0.6947,0.6977
57,0.6948,0.6956,0.6947,0.6969
