epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.6935,0.4997,0.4998,0.5340,0.6914,0.5516,0.1993,0.4591,0.6599,0.5484,0.5492,0.5722,0.6948,0.4468,0.2437,0.7358
1,0.6931,0.5035,0.5033,0.5310,0.7141,0.2336,0.1784,0.9296,0.6067,0.6112,0.6142,0.6252,0.6525,0.5026,0.3256,0.8172
2,0.6550,0.5946,0.5917,0.6106,0.8392,0.3552,0.2313,0.9651,0.5201,0.7030,0.7101,0.7040,0.5698,0.6228,0.4480,0.8746
3,0.4228,0.8242,0.8383,0.8035,0.3523,0.9033,0.7101,0.8557,0.4249,0.7931,0.8040,0.7834,0.4813,0.7551,0.5589,0.8970
4,0.3176,0.8882,0.9080,0.8640,0.3388,0.9058,0.7016,0.8923,0.3517,0.8542,0.8667,0.8397,0.4229,0.8400,0.6217,0.9038
5,0.2959,0.8953,0.9089,0.8785,0.4701,0.8611,0.5867,0.9354,0.3121,0.8826,0.8944,0.8680,0.3833,0.8760,0.6532,0.9015
6,0.2808,0.8992,0.9059,0.8910,0.4512,0.8690,0.5939,0.9305,0.2966,0.8913,0.9019,0.8781,0.3375,0.8912,0.6816,0.8902
7,0.3007,0.8890,0.8986,0.8770,0.2110,0.9246,0.8081,0.8424,0.2898,0.8934,0.9030,0.8814,0.2929,0.8996,0.7053,0.8794
8,0.3014,0.8875,0.9028,0.8685,0.2637,0.8973,0.6842,0.8689,0.2819,0.8956,0.9037,0.8855,0.2685,0.9030,0.7134,0.8796
9,0.2696,0.8997,0.9032,0.8955,0.2247,0.9130,0.7570,0.8523,0.2713,0.8992,0.9055,0.8915,0.2627,0.9036,0.7099,0.8901
10,0.2709,0.8995,0.9052,0.8925,0.3218,0.8879,0.6522,0.9352,0.2617,0.9027,0.9074,0.8968,0.2625,0.9037,0.7042,0.9022
11,0.2392,0.9109,0.9130,0.9084,0.2276,0.9170,0.7399,0.9084,0.2569,0.9033,0.9074,0.8984,0.2645,0.9025,0.6977,0.9111
12,0.2539,0.9068,0.9111,0.9015,0.2510,0.9003,0.6853,0.8889,0.2608,0.8969,0.9007,0.8923,0.2765,0.8949,0.6842,0.9148
13,0.2699,0.8966,0.9005,0.8919,0.2900,0.9013,0.6836,0.9377,0.2854,0.8712,0.8746,0.8673,0.3106,0.8686,0.6490,0.8989
14,0.2315,0.9112,0.9169,0.9045,0.2684,0.9062,0.6982,0.9590,0.3505,0.8102,0.8127,0.8080,0.3786,0.8132,0.5757,0.8360
15,0.2287,0.9120,0.9124,0.9115,0.3013,0.8978,0.6737,0.9479,0.4507,0.7231,0.7249,0.7237,0.4679,0.7480,0.4808,0.7297
