epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,loss_sm,accuracy_sm,precision_sm,recall_sm,val_loss_sm,val_accuracy_sm,val_precision_sm,val_recall_sm
0,0.8557,0.4955,0.4961,0.5730,1.7247,0.2063,0.2063,1.0000,0.7672,0.4972,0.4975,0.5536,1.3708,0.2184,0.2042,0.9761
1,0.7071,0.4958,0.4960,0.5315,1.3122,0.2024,0.2024,1.0000,0.7382,0.4985,0.4986,0.5502,1.1761,0.2492,0.2031,0.9231
2,0.7032,0.5025,0.5023,0.5455,0.9738,0.2059,0.2059,1.0000,0.7148,0.4997,0.4998,0.5475,0.9672,0.3097,0.2024,0.8219
3,0.7010,0.4995,0.4996,0.5651,0.7565,0.2980,0.1968,0.8258,0.7034,0.5005,0.5005,0.5437,0.8156,0.3886,0.2037,0.6934
4,0.6987,0.5002,0.5002,0.5360,0.6818,0.5744,0.1939,0.3731,0.6992,0.5008,0.5008,0.5379,0.7342,0.4607,0.2066,0.5769
5,0.6972,0.5045,0.5043,0.5310,0.7148,0.4097,0.2185,0.7062,0.6976,0.5007,0.5007,0.5326,0.6995,0.5138,0.2061,0.4846
6,0.6972,0.4975,0.4976,0.5240,0.6701,0.6210,0.2327,0.3129,0.6968,0.5006,0.5006,0.5292,0.6860,0.5512,0.1985,0.4093
7,0.6969,0.4992,0.4993,0.5360,0.6943,0.4936,0.1878,0.4747,0.6961,0.5007,0.5006,0.5262,0.6807,0.5739,0.1882,0.3578
8,0.6952,0.5050,0.5048,0.5250,0.6541,0.7205,0.1453,0.0865,0.6955,0.5008,0.5007,0.5235,0.6799,0.5813,0.1833,0.3382
9,0.6951,0.4970,0.4971,0.5135,0.6969,0.4732,0.1989,0.5358,0.6950,0.5007,0.5007,0.5218,0.6819,0.5763,0.1846,0.3453
10,0.6947,0.5025,0.5024,0.5195,0.6787,0.6156,0.1852,0.2743,0.6947,0.5007,0.5007,0.5209,0.6850,0.5613,0.1876,0.3727
11,0.6945,0.5013,0.5012,0.5380,0.6704,0.6761,0.1933,0.1590,0.6945,0.5010,0.5009,0.5194,0.6881,0.5418,0.1905,0.4122
12,0.6946,0.4978,0.4978,0.4995,0.7259,0.2650,0.1789,0.8914,0.6944,0.5015,0.5014,0.5180,0.6894,0.5310,0.1947,0.4399
13,0.6937,0.5040,0.5038,0.5250,0.6613,0.7426,0.2021,0.0965,0.6945,0.5020,0.5019,0.5181,0.6897,0.5259,0.1995,0.4557
14,0.6944,0.5040,0.5039,0.5105,0.7001,0.4365,0.2099,0.6099,0.6946,0.5018,0.5018,0.5188,0.6909,0.5146,0.2027,0.4754
15,0.6955,0.5017,0.5016,0.5330,0.6835,0.5780,0.1992,0.3948,0.6947,0.5012,0.5012,0.5184,0.6926,0.5023,0.2032,0.4905
16,0.6948,0.4990,0.4990,0.5130,0.7090,0.3616,0.2099,0.6939,0.6946,0.5010,0.5009,0.5178,0.6926,0.5047,0.2012,0.4784
17,0.6944,0.4988,0.4988,0.5060,0.6801,0.6205,0.2074,0.3032,0.6944,0.5014,0.5013,0.5184,0.6902,0.5309,0.1999,0.4296
18,0.6941,0.5052,0.5050,0.5290,0.7061,0.3715,0.1753,0.6621,0.6941,0.5020,0.5019,0.5185,0.6859,0.5743,0.2038,0.3595
19,0.6939,0.5013,0.5012,0.5240,0.6734,0.7035,0.1871,0.1345,0.6940,0.5024,0.5024,0.5152,0.6826,0.6098,0.2111,0.3086
20,0.6940,0.5005,0.5005,0.5205,0.6669,0.7625,0.2672,0.0845,0.6938,0.5031,0.5031,0.5089,0.6825,0.6135,0.2127,0.3103
21,0.6936,0.5065,0.5067,0.4905,0.6951,0.4846,0.2138,0.5437,0.6937,0.5041,0.5042,0.5034,0.6851,0.5971,0.2056,0.3407
22,0.6938,0.5013,0.5012,0.5030,0.6802,0.6672,0.1840,0.1935,0.6932,0.5064,0.5065,0.5014,0.6890,0.5936,0.2008,0.3503
23,0.6934,0.5050,0.5051,0.4940,0.7021,0.3845,0.1835,0.7155,0.6907,0.5125,0.5129,0.5046,0.6987,0.6109,0.2122,0.3344
24,0.6931,0.5123,0.5123,0.5085,0.6657,0.7897,0.1579,0.0151,0.6806,0.5296,0.5309,0.5183,0.7159,0.6235,0.2456,0.3480
25,0.6930,0.5098,0.5100,0.4970,0.6618,0.7981,0.3171,0.0332,0.6508,0.5698,0.5731,0.5542,0.7211,0.6265,0.2883,0.4040
26,0.6898,0.5318,0.5330,0.5135,1.0177,0.2093,0.2093,1.0000,0.5886,0.6409,0.6474,0.6217,0.6884,0.6553,0.3110,0.4144
27,0.6077,0.6618,0.6714,0.6335,0.4959,0.8547,0.6907,0.5476,0.4974,0.7314,0.7408,0.7115,0.6235,0.7177,0.3117,0.3303
28,0.3948,0.8440,0.8617,0.8195,0.5682,0.7910,0.0000,0.0000,0.4017,0.8136,0.8238,0.7964,0.5463,0.7795,0.3547,0.2453
29,0.3097,0.8923,0.9033,0.8785,0.6582,0.7917,0.0000,0.0000,0.3288,0.8663,0.8749,0.8540,0.4609,0.8212,0.4840,0.2765
30,0.2762,0.8982,0.9045,0.8905,0.3328,0.8398,0.9444,0.2109,0.2914,0.8859,0.8916,0.8786,0.3836,0.8451,0.6232,0.4288
