epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
0,0.7793454,0.1782221,0.3533488,0.2477749,0.9852789,0.9191726,0.9733890,0.1016876,0.0367442,0.0366118,0.0283316,0.9985718,0.9985477,0.9985476,0.3391132,0.0800786,0.1519839,0.1070509,0.9930776,0.9659009,0.9882996,0.0527235,0.0192151,0.0188069,0.0147015,0.9985575,0.9987701,0.9987637
1,0.0415770,0.0155749,0.0147041,0.0112981,0.9985743,0.9985854,0.9986328,0.0238696,0.0089290,0.0082976,0.0066430,0.9985481,0.9985958,0.9988011,0.1953304,0.0473437,0.0866573,0.0613295,0.9955402,0.9808062,0.9930750,0.0349765,0.0128638,0.0123465,0.0097663,0.9985567,0.9989992,0.9988737
2,0.0166158,0.0063377,0.0056689,0.0046092,0.9985625,0.9987980,0.9989590,0.0130520,0.0049214,0.0044328,0.0036979,0.9985461,0.9991190,0.9990441,0.0808492,0.0208999,0.0348893,0.0250600,0.9974573,0.9925154,0.9968285,0.0196170,0.0073903,0.0067362,0.0054905,0.9985755,0.9992981,0.9989899
3,0.0106676,0.0041068,0.0035338,0.0030270,0.9985618,0.9995293,0.9990625,0.0092051,0.0036143,0.0029791,0.0026117,0.9985481,0.9996948,0.9990667,0.0274174,0.0081936,0.0109656,0.0082582,0.9983301,0.9978397,0.9985540,0.0109724,0.0043390,0.0035598,0.0030737,0.9986588,0.9995604,0.9991012
4,0.0080446,0.0032992,0.0024684,0.0022770,0.9985623,0.9997651,0.9990715,0.0071305,0.0030536,0.0020739,0.0020030,0.9985485,0.9997826,0.9990696,0.0103034,0.0038597,0.0034853,0.0029584,0.9986665,0.9994413,0.9991456,0.0068140,0.0028588,0.0020514,0.0019038,0.9988667,0.9997276,0.9992469
5,0.0062388,0.0028818,0.0016238,0.0017332,0.9985626,0.9998178,0.9990737,0.0053956,0.0026510,0.0012914,0.0014531,0.9985499,0.9998093,0.9990714,0.0055247,0.0024145,0.0015716,0.0015386,0.9989374,0.9997947,0.9994123,0.0045097,0.0019532,0.0012894,0.0012671,0.9991998,0.9998159,0.9994438
6,0.0041845,0.0022156,0.0009347,0.0010342,0.9987437,0.9998510,0.9996982,0.0027592,0.0012388,0.0007903,0.0007301,0.9997979,0.9998516,0.9998130,0.0037303,0.0016412,0.0010241,0.0010650,0.9992808,0.9998551,0.9996075,0.0029782,0.0012561,0.0008527,0.0008693,0.9995507,0.9998677,0.9996420
7,0.0021618,0.0007996,0.0006855,0.0006767,0.9998494,0.9998724,0.9998192,0.0017645,0.0006020,0.0005965,0.0005660,0.9998579,0.9998794,0.9998181,0.0024625,0.0010158,0.0006916,0.0007551,0.9996212,0.9998931,0.9997517,0.0019342,0.0007455,0.0005773,0.0006114,0.9998011,0.9999079,0.9997857
8,0.0016425,0.0005111,0.0005158,0.0006156,0.9999524,0.9999087,0.9998160,0.0014449,0.0004025,0.0004448,0.0005977,0.9999878,0.9999418,0.9998076,0.0016173,0.0005888,0.0004809,0.0005475,0.9998485,0.9999242,0.9998390,0.0012704,0.0004344,0.0003985,0.0004374,0.9999280,0.9999404,0.9998723
9,0.0011680,0.0003144,0.0003593,0.0004943,0.9999934,0.9999506,0.9998503,0.0007662,0.0002408,0.0002474,0.0002780,0.9999939,0.9999767,0.9999619,0.0010805,0.0003464,0.0003403,0.0003939,0.9999529,0.9999491,0.9998950,0.0008569,0.0002664,0.0002810,0.0003095,0.9999765,0.9999619,0.9999235
