epoch,loss,node_pos_loss,degrees_loss,node_types_loss,node_pos_accuracy,degrees_accuracy,node_types_accuracy,val_loss,val_node_pos_loss,val_degrees_loss,val_node_types_loss,val_node_pos_accuracy,val_degrees_accuracy,val_node_types_accuracy,loss_sm,node_pos_loss_sm,degrees_loss_sm,node_types_loss_sm,node_pos_accuracy_sm,degrees_accuracy_sm,node_types_accuracy_sm,val_loss_sm,val_node_pos_loss_sm,val_degrees_loss_sm,val_node_types_loss_sm,val_node_pos_accuracy_sm,val_degrees_accuracy_sm,val_node_types_accuracy_sm
0,1.9939,0.3499,1.0195,0.6245,0.9724,0.6881,0.8901,0.6506,0.1352,0.3258,0.1896,0.9984,0.9985,0.9985,0.9391,0.1741,0.4755,0.2895,0.9878,0.8703,0.9538,0.3122,0.0688,0.1542,0.0893,0.9985,0.9985,0.9985
1,0.3146,0.0791,0.1494,0.0861,0.9986,0.9986,0.9986,0.0987,0.0298,0.0451,0.0238,0.9985,0.9985,0.9985,0.5638,0.1081,0.2834,0.1722,0.9926,0.9278,0.9739,0.1946,0.0445,0.0949,0.0552,0.9985,0.9985,0.9985
2,0.0685,0.0195,0.0306,0.0183,0.9986,0.9986,0.9986,0.0536,0.0151,0.0235,0.0150,0.9985,0.9985,0.9985,0.2498,0.0512,0.1235,0.0751,0.9964,0.9725,0.9895,0.0956,0.0234,0.0453,0.0268,0.9985,0.9986,0.9985
3,0.0354,0.0103,0.0151,0.0101,0.9986,0.9986,0.9986,0.0293,0.0089,0.0122,0.0082,0.9985,0.9985,0.9985,0.0906,0.0207,0.0432,0.0266,0.9980,0.9922,0.9964,0.0432,0.0115,0.0195,0.0122,0.9986,0.9986,0.9986
4,0.0217,0.0063,0.0091,0.0063,0.9986,0.9986,0.9986,0.0172,0.0049,0.0071,0.0052,0.9985,0.9985,0.9985,0.0337,0.0088,0.0151,0.0098,0.9985,0.9977,0.9983,0.0220,0.0062,0.0094,0.0064,0.9986,0.9986,0.9986
5,0.0156,0.0044,0.0065,0.0047,0.9986,0.9986,0.9986,0.0133,0.0037,0.0055,0.0041,0.9985,0.9985,0.9985,0.0169,0.0047,0.0071,0.0051,0.9988,0.9987,0.9987,0.0136,0.0038,0.0055,0.0042,0.9988,0.9988,0.9987
6,0.0122,0.0034,0.0050,0.0038,0.9986,0.9986,0.9986,0.0108,0.0030,0.0043,0.0035,0.9985,0.9986,0.9985,0.0114,0.0031,0.0046,0.0036,0.9990,0.9989,0.9988,0.0095,0.0026,0.0037,0.0032,0.9992,0.9991,0.9989
7,0.0092,0.0025,0.0037,0.0031,0.9990,0.9989,0.9988,0.0073,0.0020,0.0027,0.0026,0.9996,0.9995,0.9992,0.0081,0.0021,0.0032,0.0028,0.9994,0.9992,0.9990,0.0067,0.0017,0.0025,0.0025,0.9995,0.9994,0.9991
8,0.0055,0.0013,0.0021,0.0022,0.9999,0.9995,0.9993,0.0044,0.0010,0.0015,0.0019,0.9999,0.9995,0.9993,0.0057,0.0014,0.0021,0.0022,0.9997,0.9995,0.9993,0.0047,0.0011,0.0017,0.0019,0.9998,0.9997,0.9993
9,0.0039,0.0008,0.0014,0.0018,1.0000,0.9998,0.9993,0.0033,0.0007,0.0011,0.0016,1.0000,0.9999,0.9993,0.0040,0.0009,0.0014,0.0017,0.9999,0.9997,0.9995,0.0033,0.0007,0.0011,0.0015,0.9999,0.9998,0.9995
10,0.0030,0.0006,0.0009,0.0015,1.0000,1.0000,0.9997,0.0024,0.0004,0.0007,0.0013,1.0000,1.0000,0.9998,0.0029,0.0006,0.0009,0.0013,0.9999,0.9999,0.9996,0.0024,0.0005,0.0008,0.0012,1.0000,0.9999,0.9997
11,0.0022,0.0004,0.0007,0.0011,1.0000,1.0000,0.9998,0.0019,0.0004,0.0005,0.0010,1.0000,1.0000,0.9998,0.0022,0.0004,0.0007,0.0011,1.0000,0.9999,0.9998,0.0019,0.0004,0.0006,0.0009,1.0000,1.0000,0.9998
12,0.0017,0.0003,0.0005,0.0009,1.0000,1.0000,0.9998,0.0015,0.0003,0.0005,0.0008,1.0000,1.0000,0.9998,0.0017,0.0003,0.0005,0.0008,1.0000,1.0000,0.9998,0.0015,0.0003,0.0004,0.0008,1.0000,1.0000,0.9998
